date,price,volume
20181216,3249.9855715839,168824825.107385
20181215,3212.0956506016,182729776.309349
20181214,3268.0200435984,299616535.966557
20181213,3394.8483612876,290471382.713592
20181212,3433.095933567,259253550.619326
20181211,3401.2306622377,277099741.678535
20181210,3504.1529438726,298867476.42369
20181209,3506.3730091819,290538066.779434
20181208,3417.9416165732,353936043.675554
20181207,3395.2918001316,681476293.480596
20181206,3730.9855183985,583950137.277968
20181205,3838.1065466684,365060011.760226
20181204,3938.589557831,406800156.442375
20181203,3961.6109665932,420708504.210553
20181202,4154.8726935558,319145307.522466
20181201,4109.427598697,324534091.588911
20181130,4106.4412080307,520780446.18954
20181129,4251.8769157167,541778532.361888
20181128,4095.4253510741,754093815.530782
20181127,3747.0288425644,545293272.780553
20181126,3897.4145122363,739497600.653781
20181125,3808.4985951063,812135715.212326
20181124,4251.5822122415,500406262.911482
20181123,4298.228750976,452262866.379542
20181122,4514.1807779482,358494329.072937
20181121,4504.0408607262,622270808.974781
20181120,4585.3218564453,1403016846.82984
20181119,5244.2208673432,1065158297.76032
20181118,5588.0479551048,183420194.091731
20181117,5545.392790463,170813800.129945
20181116,5597.5805223858,317093419.812691
20181115,5572.7895627215,751062551.730026
20181114,6092.0188502279,948563299.920288
20181113,6339.2564025373,195151236.090645
20181112,6381.8855003058,188101675.767726
20181111,6369.1320802707,142019878.958623
20181110,6387.3998307176,103625833.531594
20181109,6395.0137277861,196375274.407018
20181108,6468.9892135135,252599006.538586
20181107,6520.2213151073,238978954.456878
20181106,6429.688578118,224849536.463161
